YearBuilt,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,YrSold,SalePrice
2008,0,2018,2,0,3,10,2010,378500
1935,1479,3447,3,1,4,11,2008,381000
1958,650,1524,1,1,3,7,2007,144000
1979,192,1524,0,1,0,4,2010,260000
1968,0,1489,2,0,3,7,2009,185750
1965,0,935,1,0,3,5,2006,137000
1959,0,1357,1,0,2,5,2008,177000
1910,589,1250,2,0,3,8,2007,139000
1948,992,1920,2,0,4,10,2007,137000
1972,660,1395,1,1,3,6,2009,162000
1967,0,1724,1,1,3,7,2009,197900
2002,903,2031,2,1,3,7,2008,237000
1920,430,1128,1,0,2,6,2010,68400
2002,0,1573,2,0,3,6,2009,227000
1990,0,1339,2,0,2,6,2006,180000
1977,0,1040,2,0,3,5,2009,150500
1971,912,1824,2,2,4,8,2010,139000
1919,748,2447,2,0,4,10,2010,169000
1939,587,1412,1,0,4,6,2009,132500
1963,0,1328,1,1,3,6,2010,143000
1964,0,1582,2,0,4,7,2006,190000
2000,0,1659,2,0,2,5,2009,278000
2006,850,1970,2,1,3,8,2006,281000
1964,0,1152,1,0,3,6,2010,180500
1972,672,1302,2,1,3,6,2009,119500
1892,994,2372,2,0,4,11,2009,107500
1976,832,1664,2,1,4,8,2006,162900
1955,0,864,1,0,2,5,2006,115000
1968,0,1052,1,1,3,5,2006,138500
1963,0,1128,2,0,3,6,2008,155000
2005,0,1072,2,0,2,5,2006,140000
2008,950,5642,2,1,3,12,2008,160000
1959,0,1246,1,1,3,6,2010,154000
1999,978,1983,2,1,3,9,2009,225000
1942,741,1494,1,0,3,7,2009,177500
1994,1323,2526,2,1,4,8,2006,290000
2005,0,1616,2,0,3,7,2006,232000
2004,732,1708,2,0,3,7,2006,130000
2006,0,1652,2,0,2,6,2009,325000
2005,0,1368,2,0,2,6,2006,202500
1994,0,990,1,0,3,5,2009,138000
1948,0,1122,1,0,2,6,2008,147000
1991,0,1294,2,0,3,6,2008,179200
1959,0,1902,2,0,3,7,2010,335000
2005,0,1274,2,0,3,6,2007,203000
1990,1357,2810,2,1,4,9,2007,302000
1999,1177,2599,2,1,4,10,2010,333168
1954,0,948,1,0,3,5,2007,119000
1969,1020,2112,2,1,4,9,2008,206900
2008,0,1630,2,0,3,8,2009,295493
2006,0,1352,2,0,2,5,2007,208900
2001,0,1787,2,0,3,7,2006,275000
1954,0,948,1,0,3,5,2007,111000
1957,0,1478,1,1,3,6,2009,156500
1949,0,720,1,0,2,4,2008,72500
1992,862,1923,2,1,3,8,2010,190000
1940,0,708,1,0,2,5,2009,82500
2006,0,1795,2,0,2,7,2007,147000
1922,0,796,1,0,2,5,2008,55000
1931,0,774,1,0,3,6,2007,79000
1982,0,816,1,0,3,5,2008,130500
1920,1208,2792,2,0,5,8,2008,256000
1998,677,1632,2,1,3,8,2006,176500
2006,0,1588,2,0,3,7,2007,227000
1976,0,954,1,0,3,6,2006,132500
1938,0,816,1,0,2,3,2009,100000
1938,557,1360,1,1,2,6,2006,125500
1970,600,1365,1,1,3,7,2009,125000
1977,0,1334,2,0,2,6,2009,167900
1973,0,1656,2,0,4,8,2008,135000
1941,0,693,1,0,2,4,2006,52500
2002,941,1861,2,1,3,8,2006,200000
1972,0,864,1,0,3,5,2006,128500
1971,0,872,1,0,3,5,2007,123000
2003,0,1114,1,0,3,6,2008,155000
2002,885,2169,2,1,3,7,2007,228500
1928,741,1913,1,1,3,9,2009,177000
2006,728,1456,2,1,3,8,2007,155835
1920,0,960,1,0,2,5,2007,108500
1968,0,2156,2,0,3,9,2006,262500
2006,0,1776,2,0,3,7,2007,283463
1998,0,1494,2,0,3,5,2007,215000
1872,1215,2358,2,0,4,8,2008,122000
1969,1296,2634,2,2,6,12,2009,200000
1962,858,1716,1,1,4,8,2008,171000
1937,390,1176,1,0,2,4,2009,134900
1995,1185,3238,2,1,4,9,2010,410000
2000,873,1865,2,1,3,7,2008,235000
1968,698,1920,3,0,4,8,2006,170000
1966,0,892,1,0,3,5,2008,110000
1971,0,1078,1,1,3,6,2010,149900
2000,804,1573,2,1,3,5,2010,177500
2004,0,1980,2,0,3,8,2006,315000
1921,1611,2601,3,1,4,8,2008,189000
2005,0,1530,2,0,3,7,2009,260000
1920,457,1738,2,0,4,7,2009,104900
2006,796,1412,2,1,3,6,2007,156932
2005,600,1200,2,1,2,4,2006,144152
2000,860,1674,2,1,3,7,2010,216000
1999,908,1790,2,1,3,7,2008,193000
1977,550,1475,2,0,4,6,2006,127000
2003,0,848,1,0,1,4,2009,144000
2003,0,1668,2,0,3,8,2010,232000
1920,534,1374,1,0,2,6,2009,105000
1955,0,1661,1,0,3,8,2008,165500
1998,989,2097,2,1,3,8,2006,274300
2001,0,2633,2,1,2,8,2007,466500
2005,932,1958,2,1,3,9,2008,250000
2007,0,1571,2,0,3,7,2007,239000
1930,0,790,1,0,2,4,2008,91000
1941,620,1604,2,0,3,6,2009,117000
1973,504,987,1,1,2,5,2006,83000
2006,640,1394,2,1,3,7,2008,167500
1914,0,864,1,0,2,5,2010,58500
1970,0,2117,2,1,4,7,2008,237500
1920,764,1762,1,1,4,8,2006,157000
1918,0,1416,2,0,3,7,2007,112000
1939,560,1258,1,0,2,6,2009,105000
1922,358,1154,1,0,3,7,2010,125500
1978,1392,2784,3,1,5,12,2006,250000
1916,862,2526,2,0,5,10,2007,136000
2006,0,1746,2,0,3,7,2009,377500
1941,349,1218,1,0,3,6,2007,131000
2000,0,1525,2,0,3,6,2006,235000
1967,0,1584,2,0,4,8,2009,124000
1967,0,900,1,0,3,6,2006,123000
1905,691,1912,2,0,3,7,2008,163000
2006,0,1500,2,0,2,6,2006,246578
2005,1349,2482,2,1,4,9,2007,281213
1948,0,1687,1,0,3,7,2010,160000
1920,574,1513,1,1,4,8,2007,137500
1950,768,1904,1,1,3,7,2009,138000
1925,448,1608,2,1,3,7,2009,137450
1929,208,1158,1,0,3,5,2008,120000
2004,729,1593,2,1,3,8,2008,193000
2006,0,1294,2,0,2,6,2006,193879
2007,0,1464,2,0,3,6,2007,282922
1915,520,1214,1,0,3,6,2006,105000
2004,0,1646,2,0,2,5,2008,275000
1972,0,768,1,0,2,5,2009,133000
1985,0,833,1,0,3,5,2009,112000
1910,622,1363,1,0,3,6,2010,125500
1986,857,2093,2,1,3,7,2008,215000
2001,896,1840,2,1,3,6,2009,230000
1950,556,1668,1,1,3,6,2009,140000
1949,0,1040,2,0,2,6,2009,90000
2005,0,1844,2,0,2,7,2009,257000
1923,795,1848,1,1,4,8,2008,207000
2007,0,1569,2,0,1,7,2009,175900
1885,1044,2290,2,0,4,11,2010,122500
1998,1140,2450,2,1,3,7,2009,340000
1963,0,1144,1,1,3,6,2008,124000
1969,0,1844,2,0,3,7,2006,223000
1968,708,1416,2,1,3,7,2006,179900
1977,0,1069,2,0,2,4,2010,127500
2003,0,848,1,0,1,3,2008,136500
1966,626,2201,2,0,4,8,2006,274970
1958,0,1344,1,0,2,6,2007,144000
1959,0,1252,1,0,3,7,2008,142000
1994,904,2127,2,1,3,5,2008,271000
1945,510,1558,1,1,3,6,2008,140000
1940,0,804,1,0,2,4,2010,119000
1981,0,1440,2,0,3,7,2007,182900
2005,1104,1838,2,1,4,7,2006,192140
1976,0,958,2,0,2,5,2009,143750
1927,0,968,2,0,4,5,2007,64500
2000,830,1792,2,1,3,8,2008,186500
1977,0,1126,2,0,3,5,2006,160000
1962,0,1537,1,1,3,7,2008,174000
1971,0,864,1,0,3,5,2007,120500
2008,0,1932,2,0,2,7,2008,394617
1957,0,1236,1,0,2,6,2010,149700
1979,685,1725,2,1,3,6,2007,197000
1922,748,2555,2,0,3,11,2008,191000
2004,0,848,1,0,1,3,2008,149300
2008,981,2007,2,1,3,10,2009,310000
1916,0,952,1,0,2,4,2009,121000
2004,0,1422,2,0,3,7,2007,179600
1966,0,913,1,0,3,6,2007,129000
1962,0,1188,1,0,3,6,2010,157900
1995,870,2090,2,1,3,8,2007,240000
1910,550,1346,1,1,2,6,2007,112000
1970,0,630,1,0,1,3,2006,92000
1974,896,1792,2,2,4,8,2009,136000
2008,0,1578,2,0,3,7,2009,287090
2005,0,1072,1,0,2,5,2006,145000
2006,0,1140,1,0,3,6,2006,84500
2004,0,1221,2,0,2,6,2009,185000
1999,694,1647,2,1,3,7,2007,175000
1978,0,2073,2,0,3,7,2010,210000
1941,1152,2340,2,0,4,9,2010,266500
1950,0,1078,1,0,2,5,2010,142125
1965,0,1256,1,1,3,6,2008,147500
